ID	Entorno	Pregunta	Perfil	Rep	Respuesta (extracto)	Categoria	Duracion_ms	Tu Valoracion
BC01-V2	widget	¿Cuánto cuesta la app y qué planes de precio tiene?	visitante	2	anes de precio tiene?05:37¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya	comercial	5718	
BC02-V2	widget	¿Qué funciones tiene la app para organizar una boda?	visitante	2	ra organizar una boda?05:38¡Felicidades! 💒 Será un placer acompañarte en este día tan especial. Ofrecemos paquetes integrales para bodas de todos los estilos. ¿Cuántos invitados estás pensando?Respue	comercial	5733	
BC03-V2	widget	¿Cuántos invitados tengo en mi boda?	visitante	2	boda?05:39¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya una fecha aprox	comercial	5707	
BC01-R1	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	1	anes de precio tiene?Synced05:40:06Analizando tu solicitud......Analizando tu solicitud...Lo siento, pero no tengo información específica sobre precios o planes de tarifas de la aplicación. Te recomie	comercial	17846	
BC01-R2	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	2	anes de precio tiene?Synced05:40:33Back to bottomTe quedan ~0 consultas IA este mes.ActualizarEscribe tu mensaje, Press  to insert a line break...{"@context":"https://schema.org","@graph":[{"@id":"htt	comercial	6813	
BC01-R3	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	3	anes de precio tiene?Synced05:40:49Analizando tu solicitud......Analizando tu solicitud...No tengo información específica sobre la aplicación y sus planes de precios. Te recomendaría visitar la página	comercial	11987	
BC02-R1	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	1	ra organizar una boda?Synced05:41:11Back to bottomTe quedan ~0 consultas IA este mes.ActualizarEscribe tu mensaje, Press  to insert a line break...{"@context":"https://schema.org","@graph":[{"@id":"ht	comercial	7493	
BC02-R2	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	2	ra organizar una boda?Synced05:41:29Back to bottomTe quedan ~0 consultas IA este mes.ActualizarEscribe tu mensaje, Press  to insert a line break...{"@context":"https://schema.org","@graph":[{"@id":"ht	comercial	7065	
BC02-R3	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	3	ra organizar una boda?Synced05:41:46Back to bottomTe quedan ~0 consultas IA este mes.ActualizarEscribe tu mensaje, Press  to insert a line break...{"@context":"https://schema.org","@graph":[{"@id":"ht	comercial	6935	
BC03-R1	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	1	boda?Synced05:42:02Back to bottomTe quedan ~0 consultas IA este mes.ActualizarEscribe tu mensaje, Press  to insert a line break...{"@context":"https://schema.org","@graph":[{"@id":"https://eventosorga	comercial	6435	
BC03-R2	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	2	boda?Synced05:42:18Analizando tu solicitud......Analizando tu solicitud... Consultando get event guests... Formulando tu respuesta...En tu "Boda de Paco y Pico" no tienes invitados registrados actualm	data_response	25108	
BC03-R3	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	3	boda?Synced05:42:52Back to bottomTe quedan ~0 consultas IA este mes.ActualizarEscribe tu mensaje, Press  to insert a line break...{"@context":"https://schema.org","@graph":[{"@id":"https://eventosorga	comercial	6340	
