ID	Entorno	Pregunta	Perfil	Rep	Respuesta (extracto)	Categoria	Duracion_ms	Tu Valoracion
BC01-V1	widget	¿Cuánto cuesta la app y qué planes de precio tiene?	visitante	1	anes de precio tiene?08:06¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya	comercial	5665	
BC01-V3	widget	¿Cuánto cuesta la app y qué planes de precio tiene?	visitante	3	anes de precio tiene?08:06¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya	comercial	5739	
BC02-V1	widget	¿Qué funciones tiene la app para organizar una boda?	visitante	1	ra organizar una boda?08:07¡Felicidades! 💒 Será un placer acompañarte en este día tan especial. Ofrecemos paquetes integrales para bodas de todos los estilos. ¿Cuántos invitados estás pensando?Respue	comercial	5661	
BC02-V2	widget	¿Qué funciones tiene la app para organizar una boda?	visitante	2	ra organizar una boda?08:07¡Felicidades! 💒 Será un placer acompañarte en este día tan especial. Ofrecemos paquetes integrales para bodas de todos los estilos. ¿Cuántos invitados estás pensando?Respue	comercial	5728	
BC02-V3	widget	¿Qué funciones tiene la app para organizar una boda?	visitante	3	ra organizar una boda?08:07¡Felicidades! 💒 Será un placer acompañarte en este día tan especial. Ofrecemos paquetes integrales para bodas de todos los estilos. ¿Cuántos invitados estás pensando?Respue	comercial	5601	
BC03-V1	widget	¿Cuántos invitados tengo en mi boda?	visitante	1	boda?08:07¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya una fecha aprox	comercial	5648	
BC03-V2	widget	¿Cuántos invitados tengo en mi boda?	visitante	2	boda?08:07¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya una fecha aprox	comercial	5601	
BC03-V3	widget	¿Cuántos invitados tengo en mi boda?	visitante	3	boda?08:07¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya una fecha aprox	comercial	5614	
BC01-R1	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	1	anes de precio tiene?Synced08:07:55Back to bottomEscribe tu mensaje, Press  to insert a line break...{"@context":"https://schema.org","@graph":[{"@id":"https://eventosorganizador.com/#website","@type"	comercial	8206	
BC01-R2	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	2	anes de precio tiene?Synced08:08:11Analizando tu solicitud......Analizando tu solicitud...No tengo información sobre los costos de la aplicación o los planes de precios. Mi función es ayudarte a gesti	comercial	76670	
BC01-R3	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	3	anes de precio tiene?Synced08:09:38Analizando tu solicitud......Analizando tu solicitud... Consultando tus eventos... Formulando tu respuesta...Lo siento, pero no tengo información sobre los planes de	comercial	15383	
BC02-R1	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	1	ra organizar una boda?Synced08:10:03Analizando tu solicitud......Analizando tu solicitud... Consultando tus eventos... Formulando tu respuesta...La app tiene las siguientes funciones para organizar un	data_response	18440	
BC02-R2	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	2	ra organizar una boda?Synced08:10:32Analizando tu solicitud......Analizando tu solicitud... Consultando tus eventos... Formulando tu respuesta...La app tiene las siguientes funciones para organizar un	data_response	19341	
