ID	Entorno	Pregunta	Perfil	Rep	Respuesta (extracto)	Categoria	Duracion_ms	Tu Valoracion
BC01-V1	widget	¿Cuánto cuesta la app y qué planes de precio tiene?	visitante	1	anes de precio tiene?22:33¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya	comercial	5877	
BC01-V2	widget	¿Cuánto cuesta la app y qué planes de precio tiene?	visitante	2	anes de precio tiene?22:33¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya	comercial	5805	
BC01-V3	widget	¿Cuánto cuesta la app y qué planes de precio tiene?	visitante	3	anes de precio tiene?22:33¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya	comercial	5946	
BC02-V1	widget	¿Qué funciones tiene la app para organizar una boda?	visitante	1	ra organizar una boda?22:33¡Felicidades! 💒 Será un placer acompañarte en este día tan especial. Ofrecemos paquetes integrales para bodas de todos los estilos. ¿Cuántos invitados estás pensando?Respue	comercial	5883	
BC02-V2	widget	¿Qué funciones tiene la app para organizar una boda?	visitante	2	ra organizar una boda?22:33¡Felicidades! 💒 Será un placer acompañarte en este día tan especial. Ofrecemos paquetes integrales para bodas de todos los estilos. ¿Cuántos invitados estás pensando?Respue	comercial	5726	
BC02-V3	widget	¿Qué funciones tiene la app para organizar una boda?	visitante	3	ra organizar una boda?22:33¡Felicidades! 💒 Será un placer acompañarte en este día tan especial. Ofrecemos paquetes integrales para bodas de todos los estilos. ¿Cuántos invitados estás pensando?Respue	comercial	5626	
BC03-V1	widget	¿Cuántos invitados tengo en mi boda?	visitante	1	boda?22:33¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya una fecha aprox	comercial	5645	
BC03-V2	widget	¿Cuántos invitados tengo en mi boda?	visitante	2	boda?22:33¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya una fecha aprox	comercial	5687	
BC03-V3	widget	¿Cuántos invitados tengo en mi boda?	visitante	3	boda?22:34¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya una fecha aprox	comercial	5621	
BC01-R1	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	1	[ERROR: input no visible]	error	16	
BC01-R2	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	2	[ERROR: input no visible]	error	353	
BC01-R3	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	3	[ERROR: input no visible]	error	4	
BC02-R1	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	1	[ERROR: input no visible]	error	29	
BC02-R2	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	2	[ERROR: input no visible]	error	97	
BC02-R3	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	3	[ERROR: input no visible]	error	27	
BC03-R1	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	1	[ERROR: input no visible]	error	179	
BC03-R2	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	2	[ERROR: input no visible]	error	273	
BC03-R3	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	3	[ERROR: input no visible]	error	9	
